                                   ÇANKIRI
Merkez- İlçe                              Ciçeklenme         Çiçeklenme
             Kuşburnu, Ihlamur          1 Nisan      1 Haziran
             iğde                       15 Mayıs     15 Haziran
             Ahlat, Akasya              15 Nisan     1 Haziran
             Alıç, Bögürtlen            1 Mayıs      10 Temmuz
             Hardal                     10 Mart      15 Haziran
             Geven                      15 Haziran   1 Ağustos
             Kırkekiği, korunga         30 Mayıs     1 Ağustos
              ısırgan                   30 Nisan     15 Haziran
Ilgaz
              fiğ , ballıbaba           30 Nisan     15 Mayıs
             sıgırkuyrugu               30 Mayıs     15 Temmuz
             Kavun, Ayçiçeğ, Karpuz     30 Mayıs     1 Temmuz
             Adaçayı                    1 Nisan      1 Ağustos
             Deve dikeni                1 Temmuz     1 Eylül
             Kıryoncası                 1 Mayıs      1 Ağustos
             Sögüt                      1 Nisan      1 Mayıs
             sütlegen, üçgül            1 Nisan      1 Eylül
             karaçalı                   1 Nisan      1 Temmuz
             Sebze çeşitleri            30 Mayıs     1 Ekim
             Tarlaayrığı, Koyunyumagı   1 Mart       1 Temmuz
             Meyva türleri              1 Nisan      20 Haziran
             iğde                       25 Nisan     15 Haziran
             Akasya                     15 Nisan     1 Haziran
             Hardal                     10 Mart      15 Haziran
             Geven                      30 Mayıs     1 Temmuz
Kızılırmak   Kırkekiği, korunga         30 Mayıs     1 Ağustos
              ısırgan                   30 Nisan     15 Haziran
              fiğ                       30 Nisan     15 Mayıs
             ballıbaba, Sögüt           1 Nisan      1 Mayıs
             sıgırkuyrugu               30 Mayıs     15 Temmuz
             Kavun, Ayçiçeğ, Karpuz     30 Nisan     1 Temmuz
             Bögürtlen                  1 Mayıs      10 Temmuz
           çiğdem                        1 Şubat      1 Nisan
           Deve dikeni                   1 Temmuz     1 Eylül
           Kıryoncası                    1 Mayıs      1 Ağustos
           sütlegen, üçgül               1 Nisan      1 Eylül
           karaçalı                      1 Nisan      1 Haziran
           Sebze çeşitleri               30 Mayıs     1 Ekim
           Meyva türleri                 1 Nisan      20 Haziran
           Kızılcık, çiğdem              1 Mart       1 Nisan
           Kuşburnu, Ihlamur, karaçalı   1 Nisan      1 Haziran
           iğde                          15 Mayıs     15 Haziran
           Ahlat, Akasya                 15 Nisan     1 Haziran
           Alıç, Bögürtlen               1 Mayıs      10 Temmuz
           Hardal                        10 Mart      15 Haziran
           Geven                         20 Haziran   1 Ağustos
           Kırkekiği, korunga            30 Mayıs     1 Ağustos
Korgun      ısırgan , ballıbaba          30 Nisan     15 Haziran
            fiğ                          30 Nisan     15 Mayıs
           sıgırkuyrugu                  30 Mayıs     15 Temmuz
           Kavun, Ayçiçeğ, Karpuz        30 Mayıs     1 Temmuz
           Adaçayı                       1 Nisan      1 Ağustos
           Deve dikeni                   1 Temmuz     1 Eylül
           Kıryoncası                    1 Mayıs      1 Ağustos
           Sögüt                         1 Nisan      1 Mayıs
           sütlegen, üçgül               1 Nisan      1 Eylül
           Sebze çeşitleri               30 Mayıs     1 Ekim
           Meyva türleri                 30 Nisan     20 Haziran
           Moryonca, Ihlamur             20 Mayıs     5 Temmuz
           Kuşburnu                      1 Nisan      1 Haziran
           iğde                          30 Mayıs     15 Haziran
           Ahlat, Akasya                 15 Nisan     1 Haziran
           Alıç, Bögürtlen               1 Mayıs      10 Temmuz
           Hardal                        10 Mart      15 Haziran
           Geven                         30 Haziran   1 Ağustos
           Kırkekiği, korunga            30 Mayıs     1 Ağustos
Kurşunlu
            ısırgan ,ballıbaba           30 Nisan     15 Haziran
            fiğ                          30 Nisan     15 Mayıs
           sıgırkuyrugu                  30 Mayıs     15 Temmuz
           Adaçayı                       1 Nisan      1 Ağustos
           çiğdem                        15 Mart      1 Nisan
           Deve dikeni                   1 Temmuz     1 Eylül
           Kıryoncası                    1 Mayıs      1 Ağustos
           Sögüt                         1 Nisan      1 Mayıs
           sütlegen, üçgül               1 Nisan      1 Eylül
           karaçalı                    1 Mayıs      1 Ağustos
           K.Hindiba, Peygamber
                                       15 Mayıs     5 Temmuz
           Çiçeği, Mürdümük, Hatmi
           Meyva türleri               1 Nisan      20 Haziran
           Kızılcık, çiğdem            1 Mart       1 Nisan
           Kuşburnu, Ihlamur           1 Nisan      1 Haziran
           iğde                        30 Mayıs     15 Haziran
           Ahlat, Akasya               15 Nisan     1 Haziran
           Alıç, Bögürtlen             1 Mayıs      10 Temmuz
           Hardal                      10 Mart      15 Haziran
           Geven                       30 Haziran   1 Ağustos
Orta
           Kırkekiği, korunga          30 Mayıs     1 Ağustos
            ısırgan ,ballıbaba         30 Nisan     15 Haziran
            fiğ                        30 Nisan     15 Mayıs
           sıgırkuyrugu                30 Mayıs     15 Temmuz
           Adaçayı                     1 Nisan      1 Ağustos
           Deve dikeni                 1 Temmuz     1 Eylül
           Kıryoncası, karaçalı        1 Mayıs      1 Ağustos
           Sögüt                       1 Nisan      1 Mayıs
           sütlegen, üçgül             1 Nisan      1 Eylül
           Sebze çeşitleri             30 Mayıs     1 Ekim
           K.Hindiba, Peygamber
                                       15 Mayıs     5 Temmuz
           Çiçeği, Mürdümük, Hatmi
           Meyva türleri               1 Nisan      20 Haziran
           Kızılcık, çiğdem            1 Mart       1 Nisan
           Kuşburnu, Ihlamur           1 Nisan      1 Haziran
           iğde                        15 Mayıs     15 Haziran
           Ahlat, Akasya               15 Nisan     1 Haziran
           Alıç, Bögürtlen, karaçalı   1 Mayıs      10 Temmuz
           Hardal                      10 Mart      15 Haziran
           Geven                       15 Haziran   1 Ağustos
Şabanözü   Kırkekiği, korunga          30 Mayıs     1 Ağustos
            ısırgan , ballıbaba        30 Nisan     15 Haziran
            fiğ                        30 Nisan     15 Mayıs
           sıgırkuyrugu                30 Mayıs     15 Temmuz
           Kavun, Ayçiçeğ, Karpuz      30 Mayıs     1 Temmuz
           Adaçayı                     1 Nisan      1 Ağustos
           Deve dikeni                 1 Temmuz     1 Eylül
           Kıryoncası                  1 Mayıs      1 Ağustos
           Sögüt                       1 Nisan      1 Mayıs
           sütlegen, üçgül             1 Nisan      1 Eylül
           Sebze çeşitleri             30 Mayıs     1 Ekim
           Şerbetciotu, Reyhan,
           karaçalı                 15 Nisan     1 Temmuz
           Erguvan, Ahlat, Akasya   15 Nisan     1 Haziran
           Meyva türleri            1 Nisan      20 Haziran
           Kızılcık                 10 Mart      1 Nisan
           Kuşburnu, Ihlamur        1 Nisan      1 Haziran
           iğde                     15 Mayıs     15 Haziran
           Alıç                     1 Mayıs      10 Temmuz
           Hardal                   10 Mart      15 Haziran
           Geven                    10 Haziran   1 Ağustos
           Kırkekiği, korunga       30 Mayıs     1 Ağustos
Yapraklı    ısırgan , ballıbaba     30 Nisan     15 Haziran
            fiğ                     30 Nisan     15 Mayıs
           sıgırkuyrugu             30 Mayıs     15 Temmuz
           Ayçiçeğ                  30 Mayıs     1 Temmuz
           Adaçayı                  1 Nisan      1 Ağustos
           Bögürtlen                1 Mayıs      10 Temmuz
           çiğdem                   1 Mart       1 Nisan
           Deve dikeni              1 Temmuz     1 Eylül
           Kıryoncası               1 Mayıs      1 Ağustos
           Sögüt                    1 Nisan      1 Mayıs
           Sütlegen, Üçgül          1 Nisan      1 Eylül
           Sebze çeşitleri          30 Mayıs     1 Ekim

